"countries","artist","artist_genres","tracks.track.name","artist_id","tracks.track.id","tracks.track.popularity","danceability","energy","key","loudness","speechiness","acousticness","liveness","valence","tempo"
"turkey","UZI","rap","PAPARAZZI","51DevdOxIJin6DB1FXJpD1","6gxLEbRJlorva6uVRW4gof",76,0.854,0.796,9,-5.871,0.216,0.464,0.0684,0.382,109.995
"turkey","MERO","hip hop","Konum Gizli (feat. Murda)","5wyWp867LWGjFmYZXVSFnZ","5h1Zdr8ghV5RaWjtdfVo8w",74,0.862,0.506,10,-8.651,0.267,0.0542,0.117,0.512,136.052
"turkey","Lvbel C5","drill","GELMEZSEN GELME","0V2oXYR7DtrZAEFeILRW2r","4qcngMZ8yF98sAnFKlvXPN",76,0.76,0.555,11,-12.659,0.0599,0.185,0.0916,0.269,120.003
"turkey","UZI","rap","PARA","51DevdOxIJin6DB1FXJpD1","47zsnWIPoPSjJhZoKp5h21",74,0.761,0.49,10,-13.306,0.335,0.719,0.108,0.267,120.03
"turkey","Sefo","rap","yarim kalir","1ITjgqpqMDJlqZGAK3mlPQ","3prFQhGuWBWLGHsQstEdkb",74,0.491,0.762,9,-5.049,0.195,0.27,0.103,0.703,94.075
"turkey","Ezhel","hip hop","Daima","6LnJKrtFnTEGdbWQ2riWCL","1u61m2yf7AaeGjASOpOOqR",54,0.818,0.571,9,-6.216,0.336,0.569,0.0946,0.478,143.079
"turkey","Sakiler","other","Canima Minnet","25gzpFRLdteuie1gW4a4hK","5mCfj3EpRzSSjm5Y5IMzzz",73,0.321,0.783,11,-7.988,0.268,0.294,0.0921,0.499,195.997
"turkey","No.1","hip hop","Yarim Kalan Sigara","4fR3W8XFXsqHB8f8IqEr1y","0HbKbkAMK7Wnps5vpZW4j2",73,0.319,0.58,7,-6.59,0.0894,8.18e-05,0.483,0.211,171.718
"turkey","Ayaz Erdogan","rap","Hep Mi Ben","2Y2hYlVGlZpTHAQ9UMaBCA","4eDT9NP6B0OJnd5nKuBseL",73,0.894,0.494,11,-8.27,0.113,0.159,0.116,0.675,142.971
"turkey","Yüksek Sadakat","pop","Kafile","3SrFQDUN5DXQDZc3kygriW","4PTjzk0gb6st9Lk5kKBnc6",72,0.573,0.749,9,-6.007,0.0275,0.0542,0.37,0.751,100.016
"turkey","Motive","rap","KÂR","6sBSLIunx1Je0Y2T77wpkP","7jPUGtOJTHPxIlWNGVqD8U",71,0.685,0.609,5,-6.493,0.108,0.113,0.222,0.35,170.078
"turkey","Gökhan Türkmen","pop","Mahºer","4uGB0nZ5d1iCXS3sHR3pzm","2RehF0hYbLDGxLTvjL0Xy6",73,0.551,0.632,9,-8.2,0.026,0.234,0.0944,0.471,97.919
"turkey","Kalben","turkish singer-songwriter","Yara","4sldxVDeyb0J8OMoYApqfV","1IquNFg2RRH1CLRAHNVgQ9",74,0.7,0.493,4,-11.273,0.0456,0.443,0.28,0.462,110.989
"turkey","Sefo","rap","Affettim","1ITjgqpqMDJlqZGAK3mlPQ","3lSuzS3jEkys1ZXw4tAcRR",74,0.723,0.726,3,-4.838,0.214,0.763,0.148,0.701,174.083
"turkey","GOKO!","rap","EVA & MIA","2XsT1ReJB0oZykMLN0bEun","2FuWptjK1pc0rkVpF5O0CG",73,0.78,0.636,7,-5.698,0.0568,0.288,0.121,0.803,129.065
"turkey","Heijan","hip hop","Birader","0KOSzgkMlkeowt1tgIg6ca","3MlvEOpAgoyTx3wIx3Qdbl",73,0.776,0.572,9,-10.356,0.173,0.79,0.0948,0.306,115.069
"turkey","Canbay & Wolker","hip hop","Leylim Yar","1hgaXjbAcED2p80Lj8dzXT","26uWcQnnhCXzkjM7OqVFlj",74,0.829,0.597,6,-6.767,0.0518,0.135,0.167,0.357,110.92
"turkey","Madrigal","pop","Seni Dert Etmeler","2aZlYOswKNlrwqpuTsckKd","10n66m41IGjA2ZulKPK7Ew",73,0.552,0.608,5,-11.211,0.0274,0.148,0.332,0.835,88.002
"turkey","Tom Odell","pop","Another Love","2txHhyCwHjUEpJjWrEyqyX","7jtQIBanIiJOMS6RyCx6jZ",54,0.442,0.538,4,-8.55,0.0451,0.717,0.09,0.139,122.758
"turkey","Seksendört","pop","Anlayamazsin","7IgzsWd4tWIn70uh6dAq8d","39DenhkBkmDsYBpl1rAchr",70,0.488,0.707,9,-6.834,0.033,0.0632,0.258,0.614,81.999
"turkey","Semicenk","other","Herkes Gibisin","1CcZoULzFHa8Uhwo6OlQcp","7jnN5sT8rk6PIvBZRWYdJj",69,0.686,0.493,8,-9.845,0.142,0.0296,0.111,0.236,90.069
"turkey","Evdeki Saat","pop","Uzunlar - V1","0w92tV1EQp7sxly7UjGR4P","1vLkBVAy8ZWrqcQjYTPP3a",71,0.561,0.592,7,-10.41,0.0437,0.18,0.0642,0.965,169.975
"turkey","Rei 6","pop","Ah Canim Sevgilim - Demo","2hiKZUSxd7c4Ab57KAQ3SW","5kpkEb0M49YM516trGUSWS",73,0.471,0.227,0,-11.568,0.0539,0.873,0.159,0.3,116.871
"turkey","Reckol","drill","Benimle Gel","5FqTuN42w2zGw4Pzd50yaS","6TQj22qKkIAd9cuBiFlvKf",73,0.757,0.481,6,-8.402,0.0492,0.509,0.157,0.278,135.063
"turkey","Semicenk","other","Düºer Aklima","1CcZoULzFHa8Uhwo6OlQcp","5Qf8dlJ2zZTfztx7o7kbDN",73,0.706,0.418,8,-8.63,0.0906,0.0564,0.0933,0.319,161.918
"turkey","Sena ªener","pop","Porselen Kalbim","7CW2eGwAuElNq09rVtZYsM","7z5rmdisSV8GmWCnrOd1HU",66,0.486,0.421,2,-4.671,0.0287,0.329,0.121,0.184,159.723
